,date,open,close,high,low,volume,code
2841,2019-02-13,64.66,65.02,65.4,64.03,578658.0,601318
2842,2019-02-14,64.88,65.1,65.4,64.78,396202.0,601318
2843,2019-02-15,64.8,63.25,65.01,63.22,534011.0,601318
2844,2019-02-18,63.9,65.29,65.42,63.78,721361.0,601318
2845,2019-02-19,65.58,65.68,67.27,65.28,785951.0,601318
2846,2019-02-20,66.3,65.88,66.38,65.19,393508.0,601318
2847,2019-02-21,65.8,65.39,66.68,65.09,543694.0,601318
2848,2019-02-22,65.36,67.02,67.07,64.8,762218.0,601318
2849,2019-02-25,68.22,73.0,73.0,68.14,2222382.0,601318
2850,2019-02-26,71.71,70.01,72.6,69.92,1555638.0,601318
2851,2019-02-27,70.3,69.98,71.43,68.99,1017663.0,601318
2852,2019-02-28,69.98,70.01,70.95,69.41,598889.0,601318
2853,2019-03-01,70.69,72.39,72.6,70.25,920751.0,601318
